[INFO: 2024-12-15 22:09:52,811] Epoch 1/10, Step 1/15, Loss 0.631027340888977, Acc 0.9375, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:09:53,259] Epoch 1/10, Step 2/15, Loss 0.6830765008926392, Acc 0.4375, PN 0.1875, AP 0.2126022126022126
[INFO: 2024-12-15 22:09:53,705] Epoch 1/10, Step 3/15, Loss 0.5915095806121826, Acc 0.8125, PN 0.125, AP 0.2361111111111111
[INFO: 2024-12-15 22:09:54,150] Epoch 1/10, Step 4/15, Loss 0.5827949047088623, Acc 0.75, PN 0.125, AP 0.15476190476190477
[INFO: 2024-12-15 22:09:54,592] Epoch 1/10, Step 5/15, Loss 0.45584484934806824, Acc 0.875, PN 0.125, AP 0.26666666666666666
[INFO: 2024-12-15 22:09:55,037] Epoch 1/10, Step 6/15, Loss 0.44126203656196594, Acc 0.875, PN 0.125, AP 0.10096153846153846
[INFO: 2024-12-15 22:09:55,484] Epoch 1/10, Step 7/15, Loss 0.650451123714447, Acc 0.75, PN 0.25, AP 0.22738095238095238
[INFO: 2024-12-15 22:09:55,929] Epoch 1/10, Step 8/15, Loss 0.39560532569885254, Acc 0.875, PN 0.125, AP 0.13942307692307693
[INFO: 2024-12-15 22:09:56,374] Epoch 1/10, Step 9/15, Loss 0.4836042523384094, Acc 0.8125, PN 0.1875, AP 0.3555555555555555
[INFO: 2024-12-15 22:09:56,819] Epoch 1/10, Step 10/15, Loss 0.5665494203567505, Acc 0.75, PN 0.25, AP 0.475
[INFO: 2024-12-15 22:09:57,266] Epoch 1/10, Step 11/15, Loss 0.5126869082450867, Acc 0.8125, PN 0.1875, AP 0.3111111111111111
[INFO: 2024-12-15 22:09:57,714] Epoch 1/10, Step 12/15, Loss 0.5328705310821533, Acc 0.75, PN 0.25, AP 0.5666666666666667
[INFO: 2024-12-15 22:09:58,163] Epoch 1/10, Step 13/15, Loss 0.3900378346443176, Acc 0.9375, PN 0.0625, AP 0.09090909090909091
[INFO: 2024-12-15 22:11:32,089] Epoch 1/10, Step 1/15, Loss 0.631027340888977, Acc 0.9375, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:11:32,539] Epoch 1/10, Step 2/15, Loss 0.6830765008926392, Acc 0.4375, PN 0.1875, AP 0.2126022126022126
[INFO: 2024-12-15 22:11:32,986] Epoch 1/10, Step 3/15, Loss 0.5915095806121826, Acc 0.8125, PN 0.125, AP 0.2361111111111111
[INFO: 2024-12-15 22:11:33,434] Epoch 1/10, Step 4/15, Loss 0.5827949047088623, Acc 0.75, PN 0.125, AP 0.15476190476190477
[INFO: 2024-12-15 22:11:33,884] Epoch 1/10, Step 5/15, Loss 0.45584484934806824, Acc 0.875, PN 0.125, AP 0.26666666666666666
[INFO: 2024-12-15 22:11:34,332] Epoch 1/10, Step 6/15, Loss 0.44126203656196594, Acc 0.875, PN 0.125, AP 0.10096153846153846
[INFO: 2024-12-15 22:11:34,779] Epoch 1/10, Step 7/15, Loss 0.650451123714447, Acc 0.75, PN 0.25, AP 0.22738095238095238
[INFO: 2024-12-15 22:11:35,224] Epoch 1/10, Step 8/15, Loss 0.39560532569885254, Acc 0.875, PN 0.125, AP 0.13942307692307693
[INFO: 2024-12-15 22:11:35,668] Epoch 1/10, Step 9/15, Loss 0.4836042523384094, Acc 0.8125, PN 0.1875, AP 0.3555555555555555
[INFO: 2024-12-15 22:11:36,113] Epoch 1/10, Step 10/15, Loss 0.5665494203567505, Acc 0.75, PN 0.25, AP 0.475
[INFO: 2024-12-15 22:11:36,557] Epoch 1/10, Step 11/15, Loss 0.5126869678497314, Acc 0.8125, PN 0.1875, AP 0.3111111111111111
[INFO: 2024-12-15 22:11:37,004] Epoch 1/10, Step 12/15, Loss 0.5328705906867981, Acc 0.75, PN 0.25, AP 0.5666666666666667
[INFO: 2024-12-15 22:11:37,447] Epoch 1/10, Step 13/15, Loss 0.39003786444664, Acc 0.9375, PN 0.0625, AP 0.09090909090909091
[INFO: 2024-12-15 22:11:37,891] Epoch 1/10, Step 14/15, Loss 0.39811089634895325, Acc 0.875, PN 0.125, AP 0.23333333333333334
[INFO: 2024-12-15 22:11:38,337] Epoch 1/10, Step 15/15, Loss 0.3632441759109497, Acc 0.875, PN 0.125, AP 0.6666666666666666
[INFO: 2024-12-15 22:11:38,630] *******Epoch 1, Val loss: 0.4744, Val Acc: 0.8197, Val AP: 0.5473
[INFO: 2024-12-15 22:11:40,131] Epoch 2/10, Step 1/15, Loss 0.3553648591041565, Acc 0.875, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:11:40,577] Epoch 2/10, Step 2/15, Loss 0.6376175284385681, Acc 0.75, PN 0.25, AP 0.3988095238095238
[INFO: 2024-12-15 22:11:41,021] Epoch 2/10, Step 3/15, Loss 0.25478893518447876, Acc 0.9375, PN 0.0625, AP 0.3333333333333333
[INFO: 2024-12-15 22:11:41,465] Epoch 2/10, Step 4/15, Loss 0.6814031600952148, Acc 0.6875, PN 0.3125, AP 0.6888888888888889
[INFO: 2024-12-15 22:11:41,914] Epoch 2/10, Step 5/15, Loss 0.2956048250198364, Acc 0.9375, PN 0.0625, AP 0.5
[INFO: 2024-12-15 22:11:42,359] Epoch 2/10, Step 6/15, Loss 0.3686348795890808, Acc 0.875, PN 0.125, AP 0.45
[INFO: 2024-12-15 22:11:42,805] Epoch 2/10, Step 7/15, Loss 0.28266555070877075, Acc 0.9375, PN 0.0625, AP 0.07692307692307693
[INFO: 2024-12-15 22:11:43,251] Epoch 2/10, Step 8/15, Loss 0.8899520039558411, Acc 0.625, PN 0.375, AP 0.9333333333333333
[INFO: 2024-12-15 22:11:43,696] Epoch 2/10, Step 9/15, Loss 0.4761669337749481, Acc 0.8125, PN 0.1875, AP 0.5138888888888888
[INFO: 2024-12-15 22:11:44,142] Epoch 2/10, Step 10/15, Loss 0.42049679160118103, Acc 0.8125, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:44,588] Epoch 2/10, Step 11/15, Loss 0.3177643418312073, Acc 0.9375, PN 0.0625, AP 0.25
[INFO: 2024-12-15 22:11:45,033] Epoch 2/10, Step 12/15, Loss 0.43598151206970215, Acc 0.8125, PN 0.1875, AP 0.7
[INFO: 2024-12-15 22:11:45,479] Epoch 2/10, Step 13/15, Loss 0.33287447690963745, Acc 0.875, PN 0.125, AP 0.8333333333333333
[INFO: 2024-12-15 22:11:45,925] Epoch 2/10, Step 14/15, Loss 0.3248501718044281, Acc 0.875, PN 0.125, AP 0.7
[INFO: 2024-12-15 22:11:46,368] Epoch 2/10, Step 15/15, Loss 0.3838028609752655, Acc 0.875, PN 0.125, AP 0.22619047619047616
[INFO: 2024-12-15 22:11:46,615] *******Epoch 2, Val loss: 0.4494, Val Acc: 0.8197, Val AP: 0.6544
[INFO: 2024-12-15 22:11:48,072] Epoch 3/10, Step 1/15, Loss 0.286393940448761, Acc 0.875, PN 0.125, AP 0.8333333333333333
[INFO: 2024-12-15 22:11:48,517] Epoch 3/10, Step 2/15, Loss 0.6512016654014587, Acc 0.75, PN 0.25, AP 0.7708333333333333
[INFO: 2024-12-15 22:11:48,963] Epoch 3/10, Step 3/15, Loss 0.18178632855415344, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:11:49,407] Epoch 3/10, Step 4/15, Loss 0.18943160772323608, Acc 0.9375, PN 0.0625, AP 0.5
[INFO: 2024-12-15 22:11:49,859] Epoch 3/10, Step 5/15, Loss 0.34723132848739624, Acc 0.8125, PN 0.1875, AP 0.9166666666666666
[INFO: 2024-12-15 22:11:50,304] Epoch 3/10, Step 6/15, Loss 0.3085976839065552, Acc 0.8125, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:50,750] Epoch 3/10, Step 7/15, Loss 0.2569972276687622, Acc 0.8125, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:51,194] Epoch 3/10, Step 8/15, Loss 0.4042506217956543, Acc 0.875, PN 0.125, AP 0.3666666666666667
[INFO: 2024-12-15 22:11:51,641] Epoch 3/10, Step 9/15, Loss 0.8143985271453857, Acc 0.5625, PN 0.4375, AP 0.9682539682539683
[INFO: 2024-12-15 22:11:52,088] Epoch 3/10, Step 10/15, Loss 0.15741832554340363, Acc 0.9375, PN 0.0, AP -0.0
[INFO: 2024-12-15 22:11:52,535] Epoch 3/10, Step 11/15, Loss 0.41679471731185913, Acc 0.75, PN 0.1875, AP 0.6388888888888888
[INFO: 2024-12-15 22:11:52,983] Epoch 3/10, Step 12/15, Loss 0.44679850339889526, Acc 0.75, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:53,430] Epoch 3/10, Step 13/15, Loss 0.29974663257598877, Acc 0.9375, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:53,878] Epoch 3/10, Step 14/15, Loss 0.2140231430530548, Acc 0.9375, PN 0.125, AP 0.75
[INFO: 2024-12-15 22:11:54,322] Epoch 3/10, Step 15/15, Loss 0.16071856021881104, Acc 1.0, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:11:54,571] *******Epoch 3, Val loss: 0.4214, Val Acc: 0.8525, Val AP: 0.6771
[INFO: 2024-12-15 22:11:56,027] Epoch 4/10, Step 1/15, Loss 0.20881950855255127, Acc 0.8125, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:56,473] Epoch 4/10, Step 2/15, Loss 0.43795040249824524, Acc 0.8125, PN 0.1875, AP 0.738095238095238
[INFO: 2024-12-15 22:11:56,919] Epoch 4/10, Step 3/15, Loss 0.11382149904966354, Acc 0.875, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:11:57,365] Epoch 4/10, Step 4/15, Loss 0.31455445289611816, Acc 0.875, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:11:57,818] Epoch 4/10, Step 5/15, Loss 0.34692996740341187, Acc 0.875, PN 0.125, AP 0.5833333333333333
[INFO: 2024-12-15 22:11:58,265] Epoch 4/10, Step 6/15, Loss 0.1539788693189621, Acc 0.875, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:11:58,710] Epoch 4/10, Step 7/15, Loss 0.14469820261001587, Acc 0.9375, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:59,158] Epoch 4/10, Step 8/15, Loss 0.17938357591629028, Acc 1.0, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:11:59,606] Epoch 4/10, Step 9/15, Loss 0.09028755128383636, Acc 1.0, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:12:00,055] Epoch 4/10, Step 10/15, Loss 0.0688953548669815, Acc 1.0, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:00,504] Epoch 4/10, Step 11/15, Loss 0.13522164523601532, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:12:00,951] Epoch 4/10, Step 12/15, Loss 0.04733211547136307, Acc 1.0, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:01,402] Epoch 4/10, Step 13/15, Loss 0.15190893411636353, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:12:01,850] Epoch 4/10, Step 14/15, Loss 0.25983768701553345, Acc 0.875, PN 0.1875, AP 0.8666666666666667
[INFO: 2024-12-15 22:12:02,296] Epoch 4/10, Step 15/15, Loss 0.3976261615753174, Acc 0.875, PN 0.375, AP 0.9444444444444444
[INFO: 2024-12-15 22:12:02,542] *******Epoch 4, Val loss: 0.3566, Val Acc: 0.9016, Val AP: 0.7465
[INFO: 2024-12-15 22:12:04,002] Epoch 5/10, Step 1/15, Loss 0.08607587218284607, Acc 1.0, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:04,452] Epoch 5/10, Step 2/15, Loss 0.11229012161493301, Acc 0.9375, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:04,899] Epoch 5/10, Step 3/15, Loss 0.10962684452533722, Acc 0.9375, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:12:05,346] Epoch 5/10, Step 4/15, Loss 0.12844868004322052, Acc 0.9375, PN 0.25, AP 1.0
[INFO: 2024-12-15 22:12:05,801] Epoch 5/10, Step 5/15, Loss 0.20582878589630127, Acc 0.9375, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:06,249] Epoch 5/10, Step 6/15, Loss 0.06355294585227966, Acc 1.0, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:12:06,698] Epoch 5/10, Step 7/15, Loss 0.08332344889640808, Acc 0.9375, PN 0.25, AP 1.0
[INFO: 2024-12-15 22:12:07,150] Epoch 5/10, Step 8/15, Loss 0.19043421745300293, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:12:07,600] Epoch 5/10, Step 9/15, Loss 0.03767756372690201, Acc 1.0, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:08,048] Epoch 5/10, Step 10/15, Loss 0.3071904182434082, Acc 0.875, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:08,493] Epoch 5/10, Step 11/15, Loss 0.1090855598449707, Acc 0.9375, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:12:08,941] Epoch 5/10, Step 12/15, Loss 0.026900164783000946, Acc 1.0, PN 0.3125, AP 1.0
[INFO: 2024-12-15 22:12:09,389] Epoch 5/10, Step 13/15, Loss 0.18398912250995636, Acc 0.9375, PN 0.3125, AP 1.0
[INFO: 2024-12-15 22:12:09,838] Epoch 5/10, Step 14/15, Loss 0.006417810916900635, Acc 1.0, PN 0.0, AP -0.0
[INFO: 2024-12-15 22:12:10,285] Epoch 5/10, Step 15/15, Loss 0.4199654161930084, Acc 0.875, PN 0.125, AP 0.8333333333333333
[INFO: 2024-12-15 22:12:10,531] *******Epoch 5, Val loss: 0.3309, Val Acc: 0.9180, Val AP: 0.7387
[INFO: 2024-12-15 22:12:12,020] Epoch 6/10, Step 1/15, Loss 0.02218180149793625, Acc 1.0, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:12,466] Epoch 6/10, Step 2/15, Loss 0.036764323711395264, Acc 1.0, PN 0.375, AP 1.0
[INFO: 2024-12-15 22:12:12,918] Epoch 6/10, Step 3/15, Loss 0.029671717435121536, Acc 1.0, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:12:13,366] Epoch 6/10, Step 4/15, Loss 0.03385435789823532, Acc 1.0, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:12:13,820] Epoch 6/10, Step 5/15, Loss 0.043245937675237656, Acc 1.0, PN 0.0, AP -0.0
[INFO: 2024-12-15 22:12:14,268] Epoch 6/10, Step 6/15, Loss 0.22219352424144745, Acc 0.9375, PN 0.125, AP 0.5833333333333333
[INFO: 2024-12-15 22:12:14,715] Epoch 6/10, Step 7/15, Loss 0.03977135568857193, Acc 1.0, PN 0.0625, AP 1.0
[INFO: 2024-12-15 22:12:15,164] Epoch 6/10, Step 8/15, Loss 0.09958022832870483, Acc 0.9375, PN 0.1875, AP 1.0
[INFO: 2024-12-15 22:12:15,611] Epoch 6/10, Step 9/15, Loss 0.11998455971479416, Acc 0.9375, PN 0.125, AP 1.0
[INFO: 2024-12-15 22:12:16,060] Epoch 6/10, Step 10/15, Loss 0.01956726238131523, Acc 1.0, PN 0.1875, AP 1.0
